# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Sep 18 13:26:37 AEST 2023 [seed=1695007596209]
# -overwrite June_baits_twonodes_SC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(psuedocowpox)	age(psuedocowpox)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1154711.8864397786	-216.1895874771404	-1154495.6968523015	0.8358320545016573	0.8358320545016573	18.88055710900332	0.768459	0.768459	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	-1154495.6968523015	0.0	-211.71142905450174
1000	-830857.8909090728	-13.84587872171732	-830844.0450303511	0.8684265258918432	0.8684265258918432	3.5140106644845384	0.8684265258918432	0.8684265258918432	0.9282358172980887	0.9965459850127247	1.0	0.9953752005671165	1.0096544445492028	1.009352497505805	0.9890718723651512	0.39405197904961736	1.0	1.0	-830844.0450303511	0.0	-9.654085805988931
2000	-817018.7732135085	14.540759809089462	-817033.3139733176	0.3378785359496864	0.3378785359496864	1.4565064355127402	0.3378785359496864	0.3378785359496864	0.26232731443570784	0.9873946471187536	1.0199165763220357	0.9905716427137201	1.0070896494480015	1.0177808798993302	0.9772466044981591	0.40540595300693266	1.0	1.0	-817033.3139733176	0.0	17.491567874544714
3000	-815909.3744333098	16.80140008602353	-815926.1758333958	0.3343128417324898	0.3343128417324898	1.45531804814287	0.3343128417324898	0.3343128417324898	0.16820447354819043	0.9831773198022739	1.020967249355428	0.9946160430340328	0.9958439204772764	1.03536177137146	0.9700336959595289	0.40540595300693266	1.0	1.0	-815926.1758333958	0.0	19.307795479479523
4000	-815382.0157395095	16.275192185720726	-815398.2909316953	0.33561335401673165	0.33561335401673165	1.454751402916869	0.33561335401673165	0.33561335401673165	0.20135505846228907	0.9645721978718008	1.0328585335533222	0.9961765974096297	0.9990677361345209	1.040515054728442	0.9668098803022844	0.40540595300693266	1.0	1.0	-815398.2909316953	0.0	18.961477045106026
5000	-814934.8526305873	16.547640460957147	-814951.4002710483	0.34209937908292115	0.34209937908292115	1.4767024666370914	0.34209937908292115	0.34209937908292115	0.16216676686023043	0.9638367944135665	1.0328585335533222	0.996912000867864	0.9990677361345209	1.040515054728442	0.9668098803022844	0.40540595300693266	1.0	1.0	-814951.4002710483	0.0	19.017480741428464
6000	-814604.233059036	15.455787027743023	-814619.6888460637	0.34380549322315335	0.34380549322315335	1.484856474814364	0.34380549322315335	0.34380549322315335	0.22907515153896926	0.9522235037925504	1.047714289894612	0.9980321884288383	0.9990677361345209	1.0519005692739891	0.9510617124754894	0.40540595300693266	1.0	1.0	-814619.6888460637	0.0	18.27105219979006
7000	-814539.3284635271	16.880033350800744	-814556.2084968779	0.33609080965752924	0.33609080965752924	1.4581752511781645	0.33609080965752924	0.33609080965752924	0.15645707762757463	0.947679712817992	1.047714289894612	0.993457545380977	1.0036115271090793	1.0564752123218506	0.9510617124754894	0.40540595300693266	1.0	1.0	-814556.2084968779	0.0	19.31403010847347
8000	-814533.1375394999	16.71135958382237	-814549.8488990837	0.33573644800036095	0.33573644800036095	1.4538301460177654	0.33573644800036095	0.33573644800036095	0.1423021662029945	0.9362977285306608	1.0481626117436025	1.004000516784198	1.0036115271090793	1.0564752123218506	0.9514524035106089	0.40540595300693266	1.0	1.0	-814549.8488990837	0.0	19.050527361262567
9000	-814254.1840322795	16.02774522497408	-814270.2117775045	0.34555155910401647	0.34555155910401647	1.492426672670415	0.34555155910401647	0.34555155910401647	0.2019442170146225	0.9335439697378481	1.0650920344863863	0.9859372495786652	1.016499778140948	1.0616811546422142	0.9372458134139384	0.40172873716146773	1.0	1.0	-814270.2117775045	0.0	18.70959734882444
10000	-814106.7855953544	15.315222865047403	-814122.1008182195	0.34097910614900706	0.34097910614900706	1.468015114732557	0.34097910614900706	0.34097910614900706	0.12162181789633887	0.9294661274409904	1.0740396586803318	0.9779738391207708	1.0265085661085955	1.0637136194293186	0.928298189219993	0.39956837065535394	1.0	1.0	-814122.1008182195	0.0	17.485679126941882
11000	-813880.0170144858	16.697533654435908	-813896.7145481402	0.3399611519155983	0.3399611519155983	1.4689595827481141	0.3399611519155983	0.3399611519155983	0.16061311614194265	0.9294661274409904	1.0902305583433805	0.9627313242845229	1.0265085661085955	1.068819037507429	0.9222443863150821	0.4060293144713295	1.0	1.0	-813896.7145481402	0.0	19.158993894839035
12000	-813819.9841872851	16.100573911092265	-813836.0847611962	0.33982871277413434	0.33982871277413434	1.4690341570862957	0.33982871277413434	0.33982871277413434	0.21203881221182289	0.9274211781097343	1.0902305583433805	0.9609918987981866	1.0292918606841075	1.0740501783018654	0.918014325762726	0.4060293144713295	1.0	1.0	-813836.0847611962	0.0	18.839805018077893
13000	-813689.2653122059	15.916927480300082	-813705.1822396861	0.34142616715638574	0.34142616715638574	1.477380879590919	0.34142616715638574	0.34142616715638574	0.21350387977900498	0.9133602045348926	1.0973308117844036	0.9717400306423105	1.0230678798816417	1.0808066447723939	0.913694428384358	0.4060293144713295	1.0	1.0	-813705.1822396861	0.0	18.663044257669853
14000	-813633.8874683161	15.910536064562164	-813649.7980043807	0.33381363250676616	0.33381363250676616	1.4479722493479346	0.33381363250676616	0.33381363250676616	0.22674438069129899	0.9184370491118536	1.0973308117844036	0.9674077385302757	1.0230678798816417	1.0861060437110626	0.9076504769807631	0.4060293144713295	1.0	1.0	-813649.7980043807	0.0	18.71682114389275
15000	-813624.2956782556	16.48310560440956	-813640.77878386	0.34194070015707456	0.34194070015707456	1.4797619105152378	0.34194070015707456	0.34194070015707456	0.18188243717091068	0.9184370491118536	1.0973308117844036	0.9690481182124732	1.0255442780232584	1.0861060437110626	0.903533699156949	0.4060293144713295	1.0	1.0	-813640.77878386	0.0	19.068927905759843
16000	-813513.7554194778	16.756598648767323	-813530.5120181266	0.3380667476600403	0.3380667476600403	1.462203943451821	0.3380667476600403	0.3380667476600403	0.15039564734903185	0.910072523544297	1.1090763122139717	0.9690481182124732	1.022163303161247	1.0861060437110626	0.903533699156949	0.4060293144713295	1.0	1.0	-813530.5120181266	0.0	19.152329891965024
17000	-813261.6611197024	16.302599082127536	-813277.9637187845	0.335723345990527	0.335723345990527	1.4577187908306155	0.335723345990527	0.335723345990527	0.20980309955499865	0.8891172348104482	1.1203696086494876	0.963979894236004	1.022163303161247	1.1008362599858645	0.903533699156949	0.4060293144713295	1.0	1.0	-813277.9637187845	0.0	19.03123032443585
18000	-813096.504726963	14.115425807046886	-813110.6201527701	0.3373450681908997	0.3373450681908997	1.4712787700574432	0.3373450681908997	0.3373450681908997	0.26906247180145654	0.8891172348104482	1.1382766469197687	0.9600565635563477	1.0134689334083808	1.1029003638103378	0.8961802574947171	0.4060293144713295	1.0	1.0	-813110.6201527701	0.0	17.092831169465185
19000	-812925.5975606962	16.831906567991552	-812942.4294672642	0.3353389635815181	0.3353389635815181	1.4487047849712966	0.3353389635815181	0.3353389635815181	0.19735523652830134	0.8916302989718371	1.1419255307177847	0.9607786979182469	1.0107526928108963	1.1094980486858346	0.8854147308954008	0.4060293144713295	1.0	1.0	-812942.4294672642	0.0	19.499373676567508
20000	-812736.1854980463	15.880218081187348	-812752.0657161275	0.3466891132169479	0.3466891132169479	1.4890094406332262	0.3466891132169479	0.3466891132169479	0.1353973167413705	0.8727463035412601	1.1497738655846417	0.9607786979182469	1.0124003714242198	1.1222347804882469	0.8820659810433847	0.4020708285458129	1.0	1.0	-812752.0657161275	0.0	18.162976424945324
21000	-812607.4718296248	16.183490921098983	-812623.6553205459	0.3363169842689893	0.3363169842689893	1.4682104020245836	0.3363169842689893	0.3363169842689893	0.1404393221162896	0.8700291278494383	1.1539353632259222	0.9491300592405518	1.0051260482276756	1.1334993581027564	0.888280043353656	0.40217733135608535	1.0	1.0	-812623.6553205459	0.0	18.503024251899898
22000	-812544.3708380027	15.17630834342309	-812559.5471463461	0.33988473178165374	0.33988473178165374	1.4660187385878978	0.33988473178165374	0.33988473178165374	0.2467552400783591	0.8738053268305513	1.1612981190692186	0.9453538602594388	1.0014931437517887	1.133468294319	0.884581255770003	0.40217733135608535	1.0	1.0	-812559.5471463461	0.0	18.059463064266367
23000	-812414.0146676595	16.931130834104394	-812430.9457984937	0.3344089819488165	0.3344089819488165	1.4530414234721956	0.3344089819488165	0.3344089819488165	0.1789604610603459	0.8616453231759118	1.177920222800088	0.9453538602594388	0.9946706904903705	1.1338644922004775	0.8865454110737137	0.40688951229647996	1.0	1.0	-812430.9457984937	0.0	19.502477895864292
24000	-812286.6162431192	16.581801807457804	-812303.1980449267	0.3368173686549617	0.3368173686549617	1.4655534888406747	0.3368173686549617	0.3368173686549617	0.18953801157601088	0.872519762401895	1.1859097761327049	0.9384497758673698	0.9866811371577536	1.1423577629084838	0.8740817855317933	0.40688951229647996	1.0	1.0	-812303.1980449267	0.0	19.210573568906163
25000	-812223.8576604993	15.642495510737286	-812239.50015601	0.33565636595006465	0.33565636595006465	1.4641054892719607	0.33565636595006465	0.33565636595006465	0.22616102328018517	0.8685302660386026	1.184461268619598	0.9340469822861198	0.9940206171624539	1.149005204610451	0.8699356612827749	0.40688951229647996	1.0	1.0	-812239.50015601	0.0	18.447924916947073
26000	-812103.3745390692	16.799727004764748	-812120.174266074	0.3338171123465806	0.3338171123465806	1.4557582865461574	0.3338171123465806	0.3338171123465806	0.17386110378220665	0.8687035559221807	1.1893823751642125	0.9213633998113663	0.9903187353609888	1.1593878182028166	0.8708441155384353	0.40688951229647996	1.0	1.0	-812120.174266074	0.0	19.342165899329054
27000	-812089.229061032	16.52580411356476	-812105.7548651455	0.33585176063195776	0.33585176063195776	1.4634700540374712	0.33585176063195776	0.33585176063195776	0.15100322726091248	0.8684719423935429	1.1910828434443772	0.9213633998113663	0.9897954450482626	1.1593878182028166	0.8698985510996349	0.4100886027275169	1.0	1.0	-812105.7548651455	0.0	18.9336856718517
28000	-812008.2097984006	15.479104457525443	-812023.6889028582	0.3331173737618361	0.3331173737618361	1.4478501814344495	0.3331173737618361	0.3331173737618361	0.12008034651738159	0.86372349393617	1.185902225589787	0.9192938838461058	0.9865366632593211	1.1746451822689814	0.8698985510996349	0.4028301102389584	1.0	1.0	-812023.6889028582	0.0	17.64332889470198
29000	-811900.3117739361	16.431028571378302	-811916.7428025075	0.34099992577788113	0.34099992577788113	1.4719969594650002	0.34099992577788113	0.34099992577788113	0.1440840122781581	0.8642345844369823	1.1921240319090467	0.9192938838461058	0.9865366632593211	1.1815597299067897	0.8562511066417547	0.4028301102389584	1.0	1.0	-811916.7428025075	0.0	18.77748848356462
30000	-811802.1868613668	13.492994518714315	-811815.6798558856	0.3356017449171583	0.3356017449171583	1.4594920411986092	0.3356017449171583	0.3356017449171583	0.10500693992715113	0.8691204882117103	1.195243356722406	0.9075481826434137	0.9865366632593211	1.190836688641294	0.8507146205218554	0.41327324897514106	1.0	1.0	-811815.6798558856	0.0	15.543970602838815
31000	-811722.1993722782	16.684289873487096	-811738.8836621516	0.3345336488906385	0.3345336488906385	1.4546741127953104	0.3345336488906385	0.3345336488906385	0.19623196066163895	0.8651033079634106	1.1984992317074954	0.8949795763123046	1.0071045445216995	1.191003393716661	0.8433099457784295	0.41327324897514106	1.0	1.0	-811738.8836621516	0.0	19.36053694733605
32000	-811724.3273811719	16.818135460510902	-811741.1455166324	0.3361033049042974	0.3361033049042974	1.458719509547413	0.3361033049042974	0.3361033049042974	0.14912677835599183	0.8651033079634106	1.1984992317074954	0.8949795763123046	1.0071045445216995	1.191003393716661	0.8433099457784295	0.41327324897514106	1.0	1.0	-811741.1455166324	0.0	19.219881907735395
33000	-811710.3213633741	17.068918223304333	-811727.3902815974	0.3299841015089907	0.3299841015089907	1.4408698922539862	0.3299841015089907	0.3299841015089907	0.14743295372636064	0.8743895261955756	1.1945248436479188	0.8934370910590577	1.0071045445216995	1.1965202670294846	0.8340237275462645	0.4064409515579915	1.0	1.0	-811727.3902815974	0.0	19.445576791509385
34000	-811669.6736952648	17.1317303723414	-811686.8054256372	0.33350545294125605	0.33350545294125605	1.4472514850524132	0.33350545294125605	0.33350545294125605	0.18377414772804396	0.8758423346997307	1.1958922628189543	0.8790279396624296	1.010341228898692	1.1981930893536505	0.8407031445665435	0.4064409515579915	1.0	1.0	-811686.8054256372	0.0	19.728722964779564
35000	-811552.3646840195	17.194185995152395	-811569.5588700146	0.333954827610071	0.333954827610071	1.4473819991960672	0.333954827610071	0.333954827610071	0.14791049177632193	0.865906474637487	1.1962242632480333	0.8642784268095076	1.025090741751614	1.2081289494158942	0.8403711441374645	0.4064409515579915	1.0	1.0	-811569.5588700146	0.0	19.57407834743752
36000	-811456.0444174769	16.927687126652486	-811472.9721046035	0.3364045790847364	0.3364045790847364	1.452542335332998	0.3364045790847364	0.3364045790847364	0.1402116249951389	0.8615314784498044	1.198427416195878	0.8535923131861443	1.0447245600645618	1.2141946519085511	0.8275295801950611	0.4078872097199441	1.0	1.0	-811472.9721046035	0.0	19.25701757813835
37000	-811377.0339336639	16.86453944709409	-811393.898473111	0.33424489899925114	0.33424489899925114	1.4486363639598219	0.33424489899925114	0.33424489899925114	0.14027073108466176	0.8531219144294976	1.2008678378165936	0.8448049193869142	1.0541742062267245	1.2197045363662635	0.8273265857740073	0.4078872097199441	1.0	1.0	-811393.898473111	0.0	19.19429135889014
38000	-811351.8744626099	17.135023821605483	-811369.0094864315	0.33654120767981266	0.33654120767981266	1.4564304960940175	0.33654120767981266	0.33654120767981266	0.1593407346603416	0.8531219144294976	1.1991159303556131	0.8431315440228183	1.0558475815908204	1.2242521670837356	0.8245308625175155	0.4078872097199441	1.0	1.0	-811369.0094864315	0.0	19.592246279289558
39000	-811249.5765029893	17.088925163904655	-811266.6654281532	0.331532873268938	0.331532873268938	1.4470325131974002	0.331532873268938	0.331532873268938	0.1784636629465562	0.8528259889174021	1.2004205068587805	0.8359164340919872	1.0558475815908204	1.2365374893291803	0.81845199921183	0.4078872097199441	1.0	1.0	-811266.6654281532	0.0	19.65948773857096
40000	-811131.3070766046	17.028952726068802	-811148.3360293306	0.3312273580874114	0.3312273580874114	1.4430250448536628	0.3312273580874114	0.3312273580874114	0.19011178151235322	0.8390820964728816	1.2123048129358	0.8359164340919872	1.0558475815908204	1.2406354962035753	0.816213578704936	0.4078872097199441	1.0	1.0	-811148.3360293306	0.0	19.662742512080378
41000	-810986.6147911423	17.028404703291194	-811003.6431958455	0.3341007526054269	0.3341007526054269	1.455864948460847	0.3341007526054269	0.3341007526054269	0.1642060595071083	0.8390820964728816	1.2313421846850274	0.8359164340919872	1.0442464818464154	1.2406354962035753	0.8087773067001136	0.4078872097199441	1.0	1.0	-811003.6431958455	0.0	19.515704365935207
42000	-810850.8140148257	16.354475266542124	-810867.1684900923	0.3388601743957296	0.3388601743957296	1.464396484651879	0.3388601743957296	0.3388601743957296	0.21084595058984504	0.8268256130265623	1.2439570352116829	0.8268808954666501	1.0486559116814387	1.2463449840799858	0.8073355605336807	0.4078872097199441	1.0	1.0	-810867.1684900923	0.0	19.09178060447642
43000	-810762.6616730095	17.170083126908665	-810779.8317561364	0.3330866346373479	0.3330866346373479	1.4476920082366715	0.3330866346373479	0.3330866346373479	0.1580619643786921	0.809376676423775	1.2438759522749028	0.8143447286106716	1.0504909423267352	1.2582443273342576	0.8236673730296582	0.40654939630117526	1.0	1.0	-810779.8317561364	0.0	19.616572198924178
44000	-810638.2825748927	17.08660431749238	-810655.3691792103	0.3334489948112018	0.3334489948112018	1.448310247997732	0.3334489948112018	0.3334489948112018	0.18252997938588508	0.8078260924498049	1.2531545300711038	0.8072005771233242	1.0648196676104513	1.2656643639622251	0.8013347687830908	0.40654939630117526	1.0	1.0	-810655.3691792103	0.0	19.677020683890472
45000	-810556.4864115134	17.209091711150798	-810573.6955032246	0.3337645274724769	0.3337645274724769	1.4500759740116531	0.3337645274724769	0.3337645274724769	0.16647428172542972	0.795179765735132	1.2531545300711038	0.7972529517033786	1.0732102925388098	1.2770612169467783	0.8041412430047974	0.40654939630117526	1.0	1.0	-810573.6955032246	0.0	19.70743448078785
46000	-810324.9586790238	16.81800506446038	-810341.7766840883	0.33365646855070796	0.33365646855070796	1.4500166360881819	0.33365646855070796	0.33365646855070796	0.19712437417750392	0.795179765735132	1.279473125125344	0.7817678689676728	1.0697583814128049	1.2865395392306416	0.7872813195284049	0.4099272954772037	1.0	1.0	-810341.7766840883	0.0	19.49209766959999
47000	-810291.8559141777	17.224515784167878	-810309.0804299619	0.3332176983736314	0.3332176983736314	1.448730810610954	0.3332176983736314	0.3332176983736314	0.16501438747430566	0.795179765735132	1.2829690178436244	0.7702519965945852	1.0774396816887937	1.2866011953727843	0.7875583427650806	0.41106489980045907	1.0	1.0	-810309.0804299619	0.0	19.723081394338475
48000	-810286.8656821577	17.05220883645181	-810303.9178909941	0.33142915554404806	0.33142915554404806	1.44661417676848	0.33142915554404806	0.33142915554404806	0.18116151987778412	0.8047551667756594	1.2829690178436244	0.7623928343376266	1.0774396816887937	1.2866011953727843	0.7858421039815119	0.4102647856164925	1.0	1.0	-810303.9178909941	0.0	19.64253055969268
49000	-810285.8296258001	17.5095085117621	-810303.3391343119	0.32703212413890165	0.32703212413890165	1.4273336953046656	0.32703212413890165	0.32703212413890165	0.1647679335930036	0.8002754623845126	1.276253299096366	0.7616184145879576	1.0826938058296096	1.2933169141200427	0.7858421039815119	0.4102647856164925	1.0	1.0	-810303.3391343119	0.0	20.004979247481945
50000	-810249.4331385216	16.58726246898169	-810266.0204009906	0.33186487311081825	0.33186487311081825	1.437334782558418	0.33186487311081825	0.33186487311081825	0.21411295836937172	0.8077622131584001	1.2828657040526756	0.7600099882080187	1.0826938058296096	1.2934933004842886	0.7731749882670078	0.4102647856164925	1.0	1.0	-810266.0204009906	0.0	19.344698902480573
51000	-810176.9158095289	17.207909886877662	-810194.1237194157	0.3306670331727765	0.3306670331727765	1.4414139450444476	0.3306670331727765	0.3306670331727765	0.1757779540548083	0.8066432068610655	1.2839847103500104	0.7363834057174916	1.0882384007916637	1.3022005989960315	0.782549677283738	0.4102647856164925	1.0	1.0	-810194.1237194157	0.0	19.76806417559832
52000	-810016.5145456534	17.45326362238077	-810033.9678092757	0.3307488534384263	0.3307488534384263	1.4374423850589162	0.3307488534384263	0.3307488534384263	0.15591689285345595	0.8066432068610655	1.2839847103500104	0.729984715829174	1.0938069076525956	1.329954417634145	0.7556260416730104	0.4102647856164925	1.0	1.0	-810033.9678092757	0.0	19.893519464445596
53000	-809955.0850817937	17.257412985507493	-809972.3424947793	0.32873715711059576	0.32873715711059576	1.4332358186620482	0.32873715711059576	0.32873715711059576	0.1873745250528041	0.805964040108332	1.28975965901755	0.7252987769643359	1.0938069076525956	1.335506037156332	0.7496645791008555	0.4102647856164925	1.0	1.0	-809972.3424947793	0.0	19.88145512207503
54000	-809916.0829692791	17.588724649476436	-809933.6716939287	0.3305301171562899	0.3305301171562899	1.4336266655578183	0.3305301171562899	0.3305301171562899	0.1717919846175068	0.8019371440895664	1.2951455487021202	0.7199128872797657	1.0912446438438448	1.3377159682864277	0.7540438077982762	0.4102647856164925	1.0	1.0	-809933.6716939287	0.0	20.12594171751636
55000	-809868.1292880395	15.421612529141608	-809883.5509005686	0.3289277071017484	0.3289277071017484	1.4346164977596865	0.3289277071017484	0.3289277071017484	0.11438227058952037	0.8028123908812795	1.296434024634504	0.7111175471226413	1.0911299323452242	1.3443667123425764	0.7541393926737755	0.4102647856164925	1.0	1.0	-809883.5509005686	0.0	17.55209133360227
56000	-809784.9058938848	17.009754989059466	-809801.9156488739	0.3313426096239747	0.3313426096239747	1.4424337641657754	0.3313426096239747	0.3313426096239747	0.1945462502834877	0.7932519967716481	1.304800222854464	0.7113178341647465	1.0920887548997944	1.3507527816551068	0.7477884096542413	0.4102647856164925	1.0	1.0	-809801.9156488739	0.0	19.671357629400383
57000	-809689.4736675294	16.109443738178484	-809705.5831112675	0.33103990019720797	0.33103990019720797	1.4431778485966382	0.33103990019720797	0.33103990019720797	0.2268342299071858	0.7868549616773773	1.306669268638735	0.707097310801399	1.0920887548997944	1.3679249357361472	0.7393647682465483	0.4100449885556371	1.0	1.0	-809705.5831112675	0.0	18.924156344928484
58000	-809652.2211811732	17.47277998235533	-809669.6939611556	0.32865253796722105	0.32865253796722105	1.431991591592537	0.32865253796722105	0.32865253796722105	0.1778712031937022	0.7850066186821363	1.306669268638735	0.707097310801399	1.0794737774439482	1.3760209560928418	0.7457320683409409	0.4100449885556371	1.0	1.0	-809669.6939611556	0.0	20.04433281394317
59000	-809630.3741113476	15.985722553594947	-809646.3598339012	0.3324130209199901	0.3324130209199901	1.4487786485682634	0.3324130209199901	0.3324130209199901	0.22842260733999542	0.7850066186821363	1.3100436372726698	0.7025751942084255	1.0794737774439482	1.3771687040518805	0.7457320683409409	0.4100449885556371	1.0	1.0	-809646.3598339012	0.0	18.80741312859478
60000	-809586.1337228934	16.96741176714973	-809603.1011346605	0.33265185569909894	0.33265185569909894	1.4503550967845171	0.33265185569909894	0.33265185569909894	0.19014632090280983	0.7850066186821363	1.317623167632726	0.6939102265390321	1.0881387451133417	1.3771687040518805	0.7381525379808849	0.4100449885556371	1.0	1.0	-809603.1011346605	0.0	19.605698773710262
61000	-809560.4496435176	17.342857372681642	-809577.7925008903	0.3289008793120158	0.3289008793120158	1.4384576112479899	0.3289008793120158	0.3289008793120158	0.17638267584556822	0.7754943933585038	1.3257830466355083	0.6939102265390321	1.0831871176866954	1.3739604524757445	0.7476647633045174	0.4100449885556371	1.0	1.0	-809577.7925008903	0.0	19.90600642270704
62000	-809548.2754872222	15.879490694840522	-809564.1549779171	0.3308542771912724	0.3308542771912724	1.4360243616079624	0.3308542771912724	0.3308542771912724	0.23912344672671976	0.7657171998731246	1.328346392805577	0.6939102265390321	1.097564701628227	1.3739182508716514	0.7405432282823895	0.4100449885556371	1.0	1.0	-809564.1549779171	0.0	18.746963747693588
63000	-809539.8501873882	16.932082180933964	-809556.7822695692	0.3289377048497466	0.3289377048497466	1.433733917021477	0.3289377048497466	0.3289377048497466	0.2049465755999839	0.7729257311582072	1.328346392805577	0.6866277242554729	1.0966566865867071	1.3749002369116479	0.7405432282823895	0.4100449885556371	1.0	1.0	-809556.7822695692	0.0	19.645324640046983
64000	-809462.2503759332	17.320509608900075	-809479.5708855422	0.33314192968002593	0.33314192968002593	1.4443535863287997	0.33314192968002593	0.33314192968002593	0.1798977559308928	0.7646587920293515	1.3375386136205252	0.6842010298597632	1.0966566865867071	1.3818602688455468	0.7350846090581077	0.4065636308064151	1.0	1.0	-809479.5708855422	0.0	19.89642868106755
65000	-809359.6472651187	17.2542758464176	-809376.9015409651	0.33892978771765936	0.33892978771765936	1.456412657351371	0.33892978771765936	0.33892978771765936	0.15366846747270851	0.7559769204266524	1.3375386136205252	0.6699910232242752	1.0966566865867071	1.4059710906992808	0.7338656654425609	0.4065636308064151	1.0	1.0	-809376.9015409651	0.0	19.67260372485818
